name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new delhi,2016-09-01,30.8,25.9,27.5,39.4,25.9,31.1,25.4,88.6,4,100,4.17,rain,,,,9.4,119.9,1001.8,83.8,2.6,245.7,21.1,8,,2016-09-01T05:59:12,2016-09-01T18:42:30,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-02,33.8,26,29.6,41.7,26,35.2,25.3,78.7,0.1,100,4.17,rain,,,,20.4,246.3,1000.3,65.2,3.1,285.4,24.7,9,,2016-09-02T05:59:41,2016-09-02T18:41:22,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-03,34,25,29.8,39.8,25,33.9,23.9,72.1,0,0,0,,,,,26.5,273.7,1000.2,32.1,3.7,291.4,25,9,,2016-09-03T06:00:11,2016-09-03T18:40:13,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-04,34,26,30.1,40.6,26,34.7,24.1,71.3,0,0,0,,,,,20.8,261.1,1002.7,38,3.8,289.5,24.9,9,,2016-09-04T06:00:41,2016-09-04T18:39:04,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-05,33.9,25,29.7,40.4,25,33.5,23.3,69.6,0,0,0,,,,33.5,25.5,265.6,1003.2,29.7,3.8,283.3,24.6,9,,2016-09-05T06:01:10,2016-09-05T18:37:54,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-06,33.8,25,29.7,39.3,25,33.2,22.9,67.4,0,0,0,,,,33.5,23.4,270.8,1003.6,36.3,3.7,275,23.8,9,,2016-09-06T06:01:40,2016-09-06T18:36:45,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-07,35,25,29.9,42.8,25,33.7,23,67.6,0,0,0,,,,,15.3,273.5,1003.4,29.1,3.8,280.7,24.2,9,,2016-09-07T06:02:09,2016-09-07T18:35:34,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-08,35,25,30.5,41.3,25,34.6,22.9,64.8,0,0,0,,,,,18.4,278.8,1004.6,35.9,3.9,274.5,23.8,9,,2016-09-08T06:02:39,2016-09-08T18:34:24,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-09,35.1,26,30.7,40.5,26,34.7,22.6,63.1,0,0,0,,,,33.5,21,278.3,1005.5,18.3,3.8,283.3,24.5,9,,2016-09-09T06:03:08,2016-09-09T18:33:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-10,35,25,30.2,40.6,25,33.8,22.8,65.9,0,0,0,,,,27.7,19,274.3,1004.4,26.9,4.2,278.3,24.1,9,,2016-09-10T06:03:37,2016-09-10T18:32:02,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-11,35,25,30.4,40.5,25,33.8,22.4,63.6,0,0,0,,,,27.7,18.4,239.3,1003.8,17.6,4.1,286.9,24.7,9,,2016-09-11T06:04:07,2016-09-11T18:30:50,0.35,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-12,34,25.6,30.4,39,25.6,33.7,22.3,62.9,0,0,0,,,,27.7,20,263.9,1004.3,23.8,3.9,273.4,23.5,9,,2016-09-12T06:04:36,2016-09-12T18:29:39,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-13,35.1,26,30.7,41.3,26,35.4,23.7,67.6,0,0,0,,,,,11.4,142.8,1006.4,32.1,3.6,264,22.8,9,,2016-09-13T06:05:05,2016-09-13T18:28:27,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-14,33.8,26,29.7,41.5,26,34.8,24.4,74.1,6,100,4.17,rain,,,,13.8,73.9,1006.9,41.6,3.3,265.6,22.9,9,,2016-09-14T06:05:35,2016-09-14T18:27:15,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-15,35.2,26.9,31,40.6,30.4,35.6,23.3,65.3,0,0,0,,,,,13.3,117.3,1005.2,24.6,2.8,267.2,23,9,,2016-09-15T06:06:04,2016-09-15T18:26:03,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-16,35.8,26.4,31.1,40.1,26.4,35.1,22.8,63.5,0,0,0,,,,,13.3,157.4,1004.1,8.7,3.6,276.2,23.8,9,,2016-09-16T06:06:33,2016-09-16T18:24:51,0.5,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-17,35.1,27,31.1,41.9,30.1,35.8,23.5,65.5,0,0,0,,,,,7.6,105.5,1003.3,37.3,3.1,269.4,23.4,9,,2016-09-17T06:07:03,2016-09-17T18:23:39,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-18,35.8,26,31.2,43,26,35.9,23.5,65.3,0,0,0,,,,,9.4,108.1,1004.5,33,2.9,266.7,23,9,,2016-09-18T06:07:32,2016-09-18T18:22:27,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-19,36.7,27,31.2,42.8,29.6,35.5,22.9,63,0,0,0,,,,,11.2,97,1003.6,27.5,3.3,252.8,21.8,8,,2016-09-19T06:08:02,2016-09-19T18:21:15,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-20,37,26.4,31.7,42.8,26.4,35.7,22.6,60.6,0,0,0,,,,,7.6,58.4,1002.6,16.5,3,248.9,21.7,8,,2016-09-20T06:08:31,2016-09-20T18:20:02,0.6,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-21,36.9,27,31.5,45.4,29.6,36.9,23.8,64.6,0.1,100,4.17,rain,,,37.1,16.6,96.4,1004.7,34,2.8,240.5,20.8,8,,2016-09-21T06:09:01,2016-09-21T18:18:50,0.65,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-22,32.7,27,29.1,39.7,29.9,33.3,23.8,74.1,2.4,100,20.83,rain,,,33.5,18.4,100,1007.7,64.3,3,241,20.9,8,,2016-09-22T06:09:31,2016-09-22T18:17:38,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-23,35,25.8,29.8,41.3,25.8,33.5,23.7,70.9,0.2,100,8.33,rain,,,,11.2,98.4,1004.5,26.3,3.3,252.8,22,9,,2016-09-23T06:10:01,2016-09-23T18:16:26,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-24,34.2,27,29.9,41.6,30.1,34.9,24,71.3,0.1,100,4.17,rain,,,,9.4,112.2,1003.5,55,2.9,245.1,21.2,8,,2016-09-24T06:10:31,2016-09-24T18:15:14,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-25,34,26,30.1,40,26,33.9,23.1,67.6,0,0,0,,,,,8.3,78.9,1004.1,34.6,2.7,251.2,21.6,8,,2016-09-25T06:11:01,2016-09-25T18:14:02,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-26,34.8,26.3,30.5,40.4,26.3,34.7,23.4,67.2,0,0,0,,,,,9.4,71.4,1005.7,42.4,2.8,241.8,20.9,8,,2016-09-26T06:11:31,2016-09-26T18:12:51,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-27,35.2,26.9,30.8,40.2,29.6,35,23.2,65.7,0,0,0,,,,,11.2,137.2,1006,24.9,3.2,236.4,20.3,8,,2016-09-27T06:12:02,2016-09-27T18:11:39,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-28,36.1,26.2,31.2,40.5,26.2,35,22.8,63.2,0,0,0,,,,,7.6,79,1004.7,16,2.7,232.3,20,8,,2016-09-28T06:12:33,2016-09-28T18:10:28,0.97,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-29,34.3,27,30.9,41.8,29.6,36,23.7,66.4,0,0,0,,,,,11.2,100.4,1004.7,23.3,2.7,220.1,19.1,7,,2016-09-29T06:13:04,2016-09-29T18:09:17,0.99,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-09-30,35.1,27,31.1,41.5,30.1,36,23.7,66.2,0,0,0,,,,,7.6,104.2,1004.9,35.8,3,231.5,19.9,8,,2016-09-30T06:13:35,2016-09-30T18:08:07,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-01,35.8,27.2,31.6,42.8,30.9,37.4,24.2,66.2,0,0,0,,,,,7.6,48.8,1006.6,26.5,2.5,219.7,19,8,,2016-10-01T06:14:06,2016-10-01T18:06:56,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-02,35,28.6,31.8,42.8,33.9,38.6,24.9,67.8,0,0,0,,,,,11.2,79.4,1008.2,43.1,3.2,208.1,17.9,7,,2016-10-02T06:14:38,2016-10-02T18:05:46,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-03,36,28.3,32.1,43,34.3,38.9,24.9,66.7,0,0,0,,,,,8.8,104.9,1006.5,42.4,2.7,212.7,18.5,7,,2016-10-03T06:15:10,2016-10-03T18:04:37,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-04,34.3,25,29.7,42.1,25,34.7,24.7,75.8,0.4,100,4.17,rain,,,33.5,17.8,99.9,1004.9,61.9,2,190.6,16.8,7,,2016-10-04T06:15:42,2016-10-04T18:03:27,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-05,31,25,27.8,35.7,25,30.7,23.6,78.4,0.1,100,4.17,rain,,,,10.9,164.2,1004.7,76,2.6,157.3,13.6,6,,2016-10-05T06:16:14,2016-10-05T18:02:19,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-06,33.3,26.8,29.7,39.9,29.7,34.3,24,72.4,0,0,0,,,,,9.5,152.8,1006.1,55.2,2.1,190.3,16.5,7,,2016-10-06T06:16:47,2016-10-06T18:01:10,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-07,35,25.9,30,37.8,25.9,33.1,22.8,67.9,0,0,0,,,,,14.8,209.9,1006.8,25,2.4,222.4,19.3,8,,2016-10-07T06:17:20,2016-10-07T18:00:02,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-08,35,24,29.5,37.3,24,31.3,21.3,63.8,0,0,0,,,,27.7,22,191.5,1006.9,4.5,2.8,229.7,19.8,8,,2016-10-08T06:17:54,2016-10-08T17:58:55,0.22,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-09,36,24,29.6,40.6,24,31.9,21.7,64.6,0,0,0,,,,,7.6,64.6,1005.1,1.8,2.7,231.7,20.1,8,,2016-10-09T06:18:27,2016-10-09T17:57:48,0.27,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-10,34.4,25.7,28.9,34.4,25.7,29.9,19,56.9,0,0,0,,,,,13.9,252.2,1005.5,32.4,3,227,19.7,8,,2016-10-10T06:19:01,2016-10-10T17:56:42,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD,remote"
new delhi,2016-10-11,34.4,22.2,28.1,34.7,22.2,28.4,18.3,58.3,0,0,0,,,,,16,173.2,1006.2,0,2.6,236,20.4,8,,2016-10-11T06:19:36,2016-10-11T17:55:36,0.36,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-12,34.8,21,27.6,34.7,21,27.6,16.5,53.4,0,0,0,,,,,21.3,214.6,1005.8,0,3,236.7,20.6,8,,2016-10-12T06:20:11,2016-10-12T17:54:31,0.41,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-13,35,21.4,27.8,35.5,21.4,27.9,15.4,48.4,0,0,0,,,,,22,192.5,1007.7,0,3.6,247.6,21.5,9,,2016-10-13T06:20:46,2016-10-13T17:53:27,0.45,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-14,35,20.4,27.5,36,20.4,27.6,15.9,51.5,0,0,0,,,,,17.8,220.4,1008.8,0,3.6,234.8,20.3,8,,2016-10-14T06:21:21,2016-10-14T17:52:23,0.48,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-15,33.2,19,26.4,34.1,19,26.7,15.8,53.8,0,0,0,,,,40.7,11.8,167.7,1010.2,1.5,2.8,228.2,19.7,8,,2016-10-15T06:21:57,2016-10-15T17:51:20,0.5,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-16,34,19,26.7,34.3,19,26.7,15.3,52.1,0,0,0,,,,,17.3,144.8,1011.1,0,3.1,226.7,19.7,8,,2016-10-16T06:22:33,2016-10-16T17:50:18,0.5,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-17,34,20.2,26.3,33.7,20.2,26.2,14.8,52.1,0,0,0,,,,,18.4,161.6,1010.1,0,2.8,216.3,18.6,8,,2016-10-17T06:23:10,2016-10-17T17:49:17,0.52,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-18,34,19,26.2,33.7,19,26.1,15.1,53,0,0,0,,,,,19.8,185.9,1009,0,2.8,224.4,19.4,8,,2016-10-18T06:23:47,2016-10-18T17:48:16,0.54,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-19,34.8,18,26.6,34.9,18,26.5,15.2,52.6,0,0,0,,,,,10.8,156.4,1008,0,3,220.6,19,7,,2016-10-19T06:24:25,2016-10-19T17:47:16,0.58,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-20,34.1,19.8,26.6,34.5,19.8,26.5,14.4,49.7,0,0,0,,,,,19.5,134.5,1006.9,0,2.8,230.9,19.7,8,,2016-10-20T06:25:03,2016-10-20T17:46:17,0.63,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-21,34.7,21,27.2,35.4,21,27.2,14.7,48.4,0,0,0,,,,,25.5,180.5,1007.9,0,3.4,217.6,18.7,8,,2016-10-21T06:25:41,2016-10-21T17:45:19,0.68,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-22,34.6,21,27.1,35.9,21,27.4,15.8,51.6,0,0,0,,,,33.5,23.1,189.2,1008.9,0,3.2,218.5,18.8,8,,2016-10-22T06:26:20,2016-10-22T17:44:22,0.74,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-23,33,19,25.9,33.7,19,26,15.6,55.4,0,0,0,,,,,18.4,247.7,1008.6,0,2.5,205.6,17.8,7,,2016-10-23T06:26:59,2016-10-23T17:43:26,0.79,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-24,34.8,20,26.1,35.7,20,26.2,14.9,52.3,0,0,0,,,,,23.3,221.9,1007.8,0,2.8,212.2,18.4,7,,2016-10-24T06:27:39,2016-10-24T17:42:31,0.84,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-25,32.8,20.7,26.3,34.9,20.7,26.7,16,54.3,0,0,0,,,,33.5,24.6,176.5,1008.3,4.7,3,213.3,18.3,8,,2016-10-25T06:28:19,2016-10-25T17:41:37,0.89,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-26,33.1,19,25.3,33.6,19,25.4,16.2,60,0,0,0,,,,,14.4,141,1011.2,0,2.5,199,17.3,7,,2016-10-26T06:28:59,2016-10-26T17:40:43,0.93,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-27,32.1,18.2,24.6,32.4,18.2,24.8,16,61.1,0,0,0,,,,,13.3,171.3,1014.2,0,1.5,198.9,17.2,7,,2016-10-27T06:29:40,2016-10-27T17:39:51,0.96,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-28,31.7,16,23.9,31.6,16,24,14.7,58.5,0,0,0,,,,,13.1,142.6,1012.4,0,1.6,189.6,16.4,7,,2016-10-28T06:30:22,2016-10-28T17:39:00,0.98,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-29,32.2,16.2,23.9,33.4,16.2,24.1,15.6,61.9,0,0,0,,,,,9.4,84.3,1012.6,0,1.2,185.9,16.2,7,,2016-10-29T06:31:03,2016-10-29T17:38:11,1,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-30,31.8,17.3,23.4,33.4,17.3,23.9,17,69.1,0,0,0,,,,,6.3,35.7,1014.5,18.2,1.3,136.5,11.9,6,,2016-10-30T06:31:46,2016-10-30T17:37:22,1,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-10-31,30.8,17,22.8,31.3,17,23,16.4,69.4,0,0,0,,,,,6,36.6,1017.3,0,1.1,166.9,14.4,6,,2016-10-31T06:32:28,2016-10-31T17:36:34,0,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-01,30.1,15.2,22.4,29.9,15.2,22.3,14.8,65.5,0,0,0,,,,,7.6,136.4,1016.2,0,1.2,150.5,13,6,,2016-11-01T06:33:12,2016-11-01T17:35:48,0.01,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-02,29.8,17,22.3,29.9,17,22.3,16.3,70.4,0,0,0,,,,,7.6,89.6,1015.8,0,0.3,158.7,13.7,6,,2016-11-02T06:33:55,2016-11-02T17:35:03,0.03,Clear,Clear conditions throughout the day.,fog,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-03,31.5,16.3,22.6,31,16.3,22.6,16.1,70.5,0,0,0,,,,,6.1,58.5,1016,11.2,0.7,188.4,16.2,7,,2016-11-03T06:34:39,2016-11-03T17:34:19,0.06,Clear,Clear conditions throughout the day.,fog,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-04,30.8,15.3,22.7,30.7,15.3,22.6,15.4,66.9,0,0,0,,,,,15.3,112.3,1012.9,1.1,1,179.2,15.4,7,,2016-11-04T06:35:23,2016-11-04T17:33:36,0.1,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-05,29,16.2,21.6,28.8,16.2,21.6,15.8,71.8,0,0,0,,,,,13,117.6,1010.3,0,0.1,137.5,11.8,6,,2016-11-05T06:36:08,2016-11-05T17:32:55,0.14,Clear,Clear conditions throughout the day.,fog,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-06,30,15.3,21.2,29.1,15.3,21.1,15.1,71.6,0,0,0,,,,,9.2,90,1011.3,3.4,0.1,154.1,13.2,6,,2016-11-06T06:36:53,2016-11-06T17:32:15,0.18,Clear,Clear conditions throughout the day.,fog,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-07,29,15.2,21.4,28.3,15.2,21.3,13.7,65.2,0,0,0,,,,,17.8,198.9,1012.5,0,0.7,175.3,14.9,6,,2016-11-07T06:37:39,2016-11-07T17:31:36,0.23,Clear,Clear conditions throughout the day.,fog,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-08,29.1,16,21.5,28.2,16,21.4,12.4,58.6,0,0,0,,,,,22,272.1,1013.3,0,1,171.4,14.7,6,,2016-11-08T06:38:24,2016-11-08T17:30:59,0.28,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-09,30,14,20.4,28.7,14,20.2,10.5,56.2,0,0,0,,,,,14.2,154.7,1014.2,0,1,170.3,14.6,6,,2016-11-09T06:39:10,2016-11-09T17:30:23,0.34,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-10,30.2,13.2,21,29.2,13.2,20.8,10.8,55,0,0,0,,,,,7.9,99.5,1013.7,0,1,194.6,16.8,7,,2016-11-10T06:39:57,2016-11-10T17:29:49,0.39,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-11,30,13.5,21.1,29.2,13.5,21,11.9,58.6,0,0,0,,,,,9.5,64.7,1013.9,0,1.1,173,14.9,6,,2016-11-11T06:40:43,2016-11-11T17:29:16,0.43,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-12,29.9,13.3,21.3,29.3,13.3,21.1,13,62.7,0,0,0,,,,,11.2,82.8,1015,3.1,1.2,168.2,14.5,6,,2016-11-12T06:41:30,2016-11-12T17:28:44,0.47,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-13,30,15.3,22.4,29.1,15.3,22.3,12.9,57.4,0,0,0,,,,,10.9,116.9,1016.2,17.9,1.5,157.7,13.6,6,,2016-11-13T06:42:18,2016-11-13T17:28:14,0.49,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-14,29,15.2,21.6,28.8,15.2,21.5,13.1,61.2,0,0,0,,,,,9.4,95.8,1015.6,6.7,1.6,156.6,13.5,6,,2016-11-14T06:43:05,2016-11-14T17:27:46,0.5,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-15,28.7,14,20,27.9,14,19.9,11.4,60.3,0,0,0,,,,,9.9,156.1,1016,2.1,1.6,151.8,13.1,6,,2016-11-15T06:43:53,2016-11-15T17:27:19,0.51,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-16,27,12.5,19,26.7,12.5,18.9,10.4,60.4,0,0,0,,,,,16.3,188.1,1017.4,0,1.6,158.3,13.6,6,,2016-11-16T06:44:40,2016-11-16T17:26:53,0.53,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-17,27.6,12,19.3,27,12,19.3,10,57.1,0,0,0,,,,,23.2,236.6,1016.7,0,1.5,159.4,13.8,6,,2016-11-17T06:45:28,2016-11-17T17:26:29,0.56,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2016-11-18,27.8,12.8,19.1,27.4,12.8,19.1,10.1,57.9,0,0,0,,,,,12.1,198.9,1014.7,0,1.6,158.6,13.7,6,,2016-11-18T06:46:16,2016-11-18T17:26:07,0.61,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
